config,ways,sets,kib,n,cycles,rd_hit,rd_tot,wr_hit,wr_tot
tb_bench,2,64,2,128,37891,7808,8064,8064,9102
tb_bench,2,64,2,256,85093,17792,18304,18304,20366
tb_bench,2,64,2,512,244338,26880,40704,38528,44814
tb_bench,2,64,2,1024,574366,51904,89856,81280,98062
tb_bench_w4,4,32,2,128,37891,7808,8064,8064,9102
tb_bench_w4,4,32,2,256,85093,17792,18304,18304,20366
tb_bench_w4,4,32,2,512,234999,28832,40704,38464,44814
tb_bench_w4,4,32,2,1024,569565,52720,89856,80352,98062
tb_bench_c8k,2,256,8,128,37891,7808,8064,8064,9102
tb_bench_c8k,2,256,8,256,85093,17792,18304,18304,20366
tb_bench_c8k,2,256,8,512,184538,39680,40704,40704,44814
tb_bench_c8k,2,256,8,1024,415782,87808,89856,89856,98062
tb_bench_c16k,2,512,16,128,37891,7808,8064,8064,9102
tb_bench_c16k,2,512,16,256,85093,17792,18304,18304,20366
tb_bench_c16k,2,512,16,512,184538,39680,40704,40704,44814
tb_bench_c16k,2,512,16,1024,415782,87808,89856,89856,98062
