kib,memlat,config,cycles
16,2,coherent,21010
16,2,noncoherent,20493
16,2,filtered,18708
16,20,coherent,39439
16,20,noncoherent,90129
4,2,noncoherent,4877
4,2,coherent,5198
4,2,filtered,4436
4,20,noncoherent,22544
4,20,coherent,9678
4,20,filtered,6465
8,2,noncoherent,9229
8,2,coherent,9933
8,2,filtered,8469
8,20,noncoherent,45071
8,20,coherent,18957
8,20,filtered,12859
16,20,filtered,25667
32,2,noncoherent,40973
32,2,coherent,42002
32,2,filtered,37396
32,20,noncoherent,180241
32,20,coherent,78863
32,20,filtered,51267
16,8,coherent,27151
16,8,noncoherent,40975
4,8,noncoherent,10254
4,8,coherent,6608
4,8,filtered,4838
8,8,noncoherent,20493
8,8,coherent,12815
8,8,filtered,9126
16,8,filtered,20263
32,8,noncoherent,81935
32,8,coherent,54287
32,8,filtered,40487
