kernel,size,config,cycles
matmul,64x64,noncoherent,2191981
matmul,64x64,coherent,1337850
matmul,64x64,filtered,1094750
conv2d,64x64,noncoherent,311454
conv2d,64x64,coherent,168177
conv2d,64x64,filtered,154382
fft,256,noncoherent,113092
fft,256,coherent,85093
fft,256,filtered,80228
fft,512,coherent,244338
fft,1024,coherent,574366
conv2d,32x32,noncoherent,73268
conv2d,32x32,coherent,38120
conv2d,32x32,filtered,35526
matmul,32x32,noncoherent,277621
matmul,32x32,coherent,171142
matmul,32x32,filtered,140223
fft,512,noncoherent,245292
fft,512,filtered,225852
fft,1024,noncoherent,550489
fft,1024,filtered,541289
conv2d,128x128,noncoherent,1277966
conv2d,128x128,coherent,683079
conv2d,128x128,filtered,625110
matmul,128x128,noncoherent,16899384
matmul,128x128,coherent,9461615
matmul,128x128,filtered,8118893
fftb,256,noncoherent,121213
fftb,256,coherent,93087
fftb,256,filtered,88604
fftb,512,noncoherent,269224
fftb,512,coherent,238776
fftb,512,filtered,219017
fftb,1024,noncoherent,584916
fftb,1024,coherent,523833
fftb,1024,filtered,478210
