"Mode","Seed","Passed","Granted","Saved"
"suppress","1","True","226","1"
"suppress","2","True","228","2"
"suppress","3","True","223","1"
"suppress","4","True","216","2"
"suppress","5","True","227","3"
"suppress","6","True","227","2"
"suppress","7","True","216","3"
"suppress","8","True","227","2"
"suppress","9","True","224","2"
"suppress","10","True","227","2"
"directed","1","True","217","4"
"directed","2","True","225","2"
"directed","3","True","219","3"
"directed","4","True","226","2"
"directed","5","True","221","3"
"directed","6","True","219","2"
"directed","7","True","227","6"
"directed","8","True","220","3"
"directed","9","True","227","0"
"directed","10","True","221","4"
