run,busy,snoop,snoop_pct,s2,s2_pct,rdwait,wrwait,reads,writes
tb_bench_c16k_fft1024,545433,27073,4.96,8914,1.63,33299,121240,89856,98062
tb_bench_c16k_fft128,51261,3190,6.22,1320,2.58,4315,11763,8064,9102
tb_bench_c16k_fft256,112681,6521,5.79,2348,2.08,8427,25382,18304,20366
tb_bench_c16k_fft512,250480,13076,5.22,4746,1.89,16847,55354,40704,44814
tb_bench_c8k_fft1024,545433,27073,4.96,8914,1.63,33299,121240,89856,98062
tb_bench_c8k_fft128,51261,3190,6.22,1320,2.58,4315,11763,8064,9102
tb_bench_c8k_fft256,112681,6521,5.79,2348,2.08,8427,25382,18304,20366
tb_bench_c8k_fft512,250480,13076,5.22,4746,1.89,16847,55354,40704,44814
tb_bench_conv2d_64,320326,20848,6.51,2529,0.79,23364,57024,73036,46394
tb_bench_fft1024,1153025,259744,22.53,38059,3.30,420977,109238,89856,98062
tb_bench_fft128,51261,3190,6.22,1320,2.58,4315,11763,8064,9102
tb_bench_fft256,112681,6521,5.79,2348,2.08,8427,25382,18304,20366
tb_bench_fft512,479444,105065,21.91,12745,2.66,153815,55583,40704,44814
tb_bench_fft_256,112681,6521,5.79,2348,2.08,8427,25382,18304,20366
tb_bench_l20_conv2d_64,454982,86415,18.99,14464,3.18,94990,57061,73036,46394
tb_bench_l20_fft_256,149278,18183,12.18,7024,4.71,33623,25121,18304,20366
tb_bench_l20_matmul_64,7862511,2585007,32.88,29104,0.37,3599044,286208,528384,274446
tb_bench_l20_memcpy_16k,123464,40681,32.95,0,0.00,49967,8214,4096,8206
tb_bench_l8_conv2d_64,357338,40107,11.22,5464,1.53,43653,57061,73036,46394
tb_bench_l8_fft_256,124700,10407,8.35,3904,3.13,16823,25119,18304,20366
tb_bench_l8_matmul_64,4581624,1203712,26.27,12976,0.28,1699456,286204,528384,274446
tb_bench_l8_memcpy_16k,74568,19445,26.08,0,0.00,22307,8214,4096,8206
tb_bench_matmul_64,3061347,483281,15.79,5610,0.18,883230,286163,528384,274446
tb_bench_memcpy_16k,50240,7168,14.27,0,0.00,10261,8209,4096,8206
tb_bench_nc_conv2d_64,900332,0,0.00,0,0.00,713603,67299,73036,46394
tb_bench_nc_fft_256,235511,0,0.00,0,0.00,153850,42991,18304,20366
tb_bench_nc_l20_conv2d_64,5971021,0,0.00,0,0.00,5794702,56889,73036,46394
tb_bench_nc_l20_fft_256,1452205,0,0.00,0,0.00,1386124,27411,18304,20366
tb_bench_nc_l20_matmul_64,44377865,0,0.00,0,0.00,43295711,279324,528384,274446
tb_bench_nc_l20_memcpy_16k,323533,0,0.00,0,0.00,303020,8211,4096,8206
tb_bench_nc_l8_conv2d_64,2553785,0,0.00,0,0.00,2378842,55513,73036,46394
tb_bench_nc_l8_fft_256,582431,0,0.00,0,0.00,509955,33806,18304,20366
tb_bench_nc_l8_matmul_64,19021308,0,0.00,0,0.00,17937290,281188,528384,274446
tb_bench_nc_l8_memcpy_16k,126997,0,0.00,0,0.00,106484,8211,4096,8206
tb_bench_nc_matmul_64,6641532,0,0.00,0,0.00,5545304,293398,528384,274446
tb_bench_nc_memcpy_16k,45106,0,0.00,0,0.00,24584,8220,4096,8206
tb_bench_w4_fft1024,1134573,257699,22.71,36283,3.20,404050,109668,89856,98062
tb_bench_w4_fft128,51261,3190,6.22,1320,2.58,4315,11763,8064,9102
tb_bench_w4_fft256,112681,6521,5.79,2348,2.08,8427,25382,18304,20366
tb_bench_w4_fft512,442332,93559,21.15,12145,2.75,128137,55595,40704,44814
